id,name,author,isbn,created
28,extranet,Trueman Wolledge,932747818-5,1983-04-24T15:08:34Z
29,Cloned,Pauli Larraway,957860180-8,2007-01-07T23:29:37Z
30,structure,Collette Tuxill,170322894-4,2016-11-30T22:02:22Z
31,Re-engineered,Kiele Empleton,152152518-8,1989-11-24T07:36:40Z
32,Reverse-engineered,Urbain Savile,541570578-3,1986-05-04T01:58:15Z
33,Streamlined,Theodore Capes,746479680-2,1981-03-09T17:47:12Z
34,upward-trending,Raychel Smithyman,362005635-8,1974-04-08T00:03:01Z
35,global,Nonah Cowser,299931736-0,1995-09-12T15:45:31Z
36,website,Erick Kerford,187294268-7,2020-12-01T03:26:11Z
37,time-frame,Lauryn Holwell,306024460-X,1971-08-06T04:19:24Z
38,Configurable,Cordy Husher,163707237-6,2018-01-17T19:02:21Z
39,tangible,Marysa Yanukhin,175364820-3,1977-12-17T04:45:58Z
40,throughput,Emlynn Willimont,832336788-4,1970-09-08T03:01:02Z
41,leading edge,Barbee Merveille,577993878-4,1972-01-12T15:08:51Z
42,stable,Margaretha Roscrigg,724178812-5,2019-03-31T12:14:52Z
43,challenge,Marlie Stenett,767764969-6,1994-05-11T16:46:06Z
44,info-mediaries,Patty Gooders,373790511-8,2020-08-14T21:36:14Z
45,collaboration,Bary Seacombe,196108477-5,1992-05-07T19:08:32Z
46,Virtual,Jillene Blasetti,488240838-4,1982-05-26T13:32:25Z
47,migration,Leigha Notman,883864547-7,1996-08-20T11:57:20Z
48,solution-oriented,Birgit Mutimer,505431868-2,1997-04-06T09:27:49Z
49,secondary,Lisle Hender,816439038-0,1991-12-24T08:08:40Z
50,upward-trending,Bekki Markovic,524843794-6,1973-12-30T03:04:18Z
51,Reduced,Pren Duddle,370867748-X,1973-03-31T14:05:18Z
52,mobile,Kira Junifer,620079736-6,1973-10-04T08:19:20Z
53,encryption,Ollie Filyashin,345233499-6,1986-02-24T23:24:31Z
54,foreground,Kristal Haydock,718013540-2,1984-07-24T00:01:03Z
55,Stand-alone,Megen Cosbey,132575570-2,1981-06-12T06:26:02Z
56,project,Merv McAusland,977829924-2,1990-04-21T00:20:00Z
57,protocol,Heinrick Bensley,306879169-3,2003-10-07T23:27:26Z
58,Pre-emptive,Adham Minchenton,069363019-1,1972-08-10T13:58:15Z
59,logistical,Blithe Strowther,860584204-0,2020-05-09T13:36:26Z
60,transitional,Keane Pittam,702296041-0,2020-02-27T16:43:51Z
61,Sharable,Nananne Robertsson,386502743-1,1984-04-12T16:36:57Z
62,support,Dalia Mount,970113208-4,1977-05-29T05:45:33Z
63,attitude,Gae Tenwick,400633775-2,2016-06-22T15:14:18Z
64,budgetary management,Paulina Ellicombe,786473149-X,1995-09-16T10:52:24Z
65,tertiary,Hort Troake,892020406-3,2019-09-03T20:28:47Z
66,superstructure,Berkeley Dewhirst,808338482-8,2012-08-10T18:33:43Z
67,algorithm,Elga Aslam,458428903-4,1971-04-17T10:56:37Z
68,Managed,Mufi Peter,658109462-5,2002-03-03T15:05:33Z
69,archive,Saree Hegdonne,269688489-7,2007-08-01T13:52:32Z
70,5th generation,Annissa McIlreavy,696610278-4,1978-05-03T19:51:08Z
71,scalable,Waylen Carlan,182788127-5,1981-09-08T14:50:16Z
72,Customer-focused,Ase Jaxon,238111826-8,1972-09-22T05:33:50Z
73,homogeneous,Jamil Harsnep,304731685-6,1996-07-31T16:04:57Z
74,projection,Eydie Bursnall,856943774-9,1992-01-05T02:08:43Z
75,Open-architected,Silvanus Godier,630585021-6,2010-09-06T10:28:16Z
76,Optimized,Ursulina Jeschner,034834502-X,2017-12-02T20:14:45Z
77,hybrid,Yorgo Lamzed,789255786-5,2013-11-07T01:41:38Z
78,Mandatory,Boote Pohls,014504165-4,1997-04-11T04:00:00Z
79,Vision-oriented,Emera Wheadon,765211811-5,2014-05-02T17:41:46Z
80,client-server,Toma Voaden,463205064-4,2009-09-14T06:29:42Z
81,Decentralized,Willy Minshall,817132962-4,1993-08-16T19:16:22Z
82,asymmetric,Haleigh McCalister,127216091-2,2002-06-20T13:19:52Z
83,system engine,Terrence Bartosiak,069694251-8,1994-06-12T15:46:03Z
84,systematic,Eleanore Mariel,929579086-3,2018-03-13T13:08:59Z
85,Implemented,Mortie Olyfant,850374820-7,1985-03-20T14:30:09Z
86,leading edge,Mina Pedracci,133424988-1,1983-11-21T00:09:18Z
87,scalable,Vita Dartnell,896931580-2,2018-03-15T15:13:50Z
88,intermediate,Emmye Teal,581769781-5,1977-11-03T13:40:47Z
89,modular,Oriana Lyte,650779548-8,1991-06-05T21:15:05Z
90,actuating,Rebeca Nuttey,790689643-2,1971-01-17T00:12:30Z
91,empowering,Constantino Bagger,171828947-2,1977-04-27T02:38:05Z
92,De-engineered,Marcelline Standish-Brooks,788063309-X,1992-08-14T06:57:26Z
93,Optional,Ellynn Haines,252105380-5,1999-12-19T06:57:30Z
94,asynchronous,Paola Jurries,617420374-3,2016-12-16T00:18:00Z
95,software,Aretha Skaif,245763204-8,2005-01-22T00:29:49Z
96,zero administration,Bryn Tuftin,452900572-0,2005-12-24T09:27:38Z
97,moratorium,Gifford Guido,849494323-5,1970-08-09T21:24:54Z
98,initiative,Bette Capon,010825218-3,2004-06-04T15:51:40Z
99,high-level,Ab Benettolo,084834127-9,1983-10-22T18:32:47Z
100,Business-focused,Sayre Adie,520745669-5,2007-06-22T03:10:48Z
101,capacity,Adriena Wylie,100983851-2,2017-02-24T03:50:31Z
102,Sharable,Gene Atger,223643032-9,1974-05-09T03:51:58Z
103,grid-enabled,Flori Clewlowe,891706222-9,2002-08-07T16:45:10Z
104,neural-net,Belinda Todarini,587717056-2,2013-01-07T00:40:57Z
105,zero tolerance,Hally Garrioch,447466696-8,2019-09-13T10:41:17Z
106,directional,Gloriana Pendrid,838507900-9,1980-10-31T20:15:37Z
107,next generation,Dorey Tacker,485767574-9,1984-01-17T00:27:29Z
108,Enterprise-wide,Donnamarie Milroy,270611800-8,2012-02-02T21:29:11Z
109,time-frame,Torin Olivie,729664682-9,1991-01-03T14:29:56Z
110,global,Ban Harrowsmith,679247131-3,1990-04-03T14:40:00Z
111,budgetary management,Susie Cotilard,523531107-8,1972-12-27T21:25:34Z
112,standardization,Dorie Deware,854408060-X,2014-10-14T09:53:35Z
113,Open-source,Caritta Blankenship,443927703-9,1972-10-03T05:21:08Z
114,leverage,Fields Lorey,255489622-4,1984-08-06T23:07:56Z
115,reciprocal,Emmaline Romao,521311887-9,1970-11-09T00:56:33Z
116,Distributed,Agace Deas,646500390-2,1990-06-16T16:00:57Z
117,bifurcated,Kris Dow,886544765-6,1973-10-09T16:23:58Z
118,approach,Beitris Harby,474007550-4,2019-03-08T07:58:10Z
119,zero defect,Tiffanie Banyard,669900891-9,1998-01-21T02:04:55Z
120,website,Alexandr Falck,722137836-3,1985-09-27T08:57:27Z
121,benchmark,Manuel Itscovitz,409887564-0,1980-06-14T12:35:16Z
122,hub,Merill Kingsbury,048439361-8,1996-08-20T10:09:17Z
123,Distributed,Morrie Metzke,763110764-5,1982-01-17T19:55:28Z
124,methodical,Conrado Mitie,187591773-X,1975-03-17T19:58:40Z
125,Upgradable,Stevena Larret,442665584-6,1992-08-18T14:03:23Z
126,Grass-roots,Ilyse Schwandermann,566684496-2,2004-01-31T14:01:03Z
127,content-based,Siusan Attarge,945215469-1,2011-11-02T20:36:41Z
128,task-force,Gui Gislebert,906598880-7,1997-04-16T17:35:32Z
129,application,Marissa Munn,590444831-7,2008-02-18T09:29:39Z
130,zero administration,Pate Freed,726651661-7,1998-10-23T07:12:08Z
131,Managed,Karlie Hazard,636700925-6,2013-09-06T00:30:17Z
132,fresh-thinking,Guenevere Shortcliffe,587935822-4,1995-04-11T22:47:47Z
133,User-centric,Alysia Piperley,868477281-4,1994-12-14T07:43:11Z
134,budgetary management,Terrel Tewes,648657115-2,1977-11-01T09:42:00Z
135,archive,Meredith Dunnan,386445403-4,2006-01-15T00:52:45Z
136,hierarchy,Lawton Costello,351553150-5,1999-08-25T21:54:57Z
137,model,Leif Emblin,251957158-6,1973-03-13T02:22:16Z
138,Triple-buffered,Marcus Sieghard,122716824-1,2013-11-05T20:43:55Z
139,zero administration,Frederich Paoli,812615312-1,2002-09-08T22:47:37Z
140,clear-thinking,Bobbee Aggus,406758302-8,1996-04-09T20:09:17Z
141,systemic,Sharyl Belz,726757481-5,2014-03-29T19:03:56Z
142,Graphical User Interface,Myrle Le Noire,245859131-0,1973-10-01T21:20:59Z
143,5th generation,Lyn Losbie,261071017-8,2010-12-18T20:27:40Z
144,Optimized,Marten Boyda,046403486-8,1999-07-02T07:18:44Z
145,complexity,Stacy Coldridge,771459006-8,1986-05-31T11:26:50Z
146,Optimized,Moe Thickett,843776978-7,2003-12-23T08:48:06Z
147,Automated,Tomasina Woolvin,325054278-4,1995-12-07T01:56:26Z
148,Reactive,Giusto Gilbart,256299858-8,1971-02-23T00:50:19Z
149,monitoring,Papageno Zettoi,304228100-0,1983-08-10T06:14:01Z
150,Seamless,Bryan Astling,473400523-0,1998-03-08T09:17:41Z
151,Synergistic,Rosella Pieracci,467234992-6,2020-05-04T04:58:13Z
152,contingency,Hermina Skillett,253531404-5,1990-07-23T04:50:48Z
153,radical,Lisle Christofe,607018054-2,2003-10-07T00:33:44Z
154,Fundamental,Aloysius Rivaland,151039429-X,2010-08-23T08:13:51Z
155,infrastructure,Jo-anne Scowen,336698428-7,1986-07-09T04:28:18Z
156,moderator,Rafferty Tomasini,069756992-6,1989-02-05T22:44:27Z
157,groupware,Idell Tschierasche,545409294-0,2009-07-04T07:25:55Z
158,secondary,Renie Adlam,165563228-0,1989-10-13T07:13:51Z
159,impactful,Laura Aluard,164760746-9,2003-05-04T02:27:07Z
160,Organized,Lesya Edinburough,730438090-X,1993-01-09T22:14:16Z
161,help-desk,Adora Priscott,065840091-6,1986-04-28T00:52:20Z
162,methodical,Ive Gillam,403522870-2,1987-01-06T16:28:05Z
163,hub,Vin O'Bruen,876908205-7,1979-12-27T03:43:13Z
164,Balanced,Geraldine Greenhaugh,044400307-X,1978-01-19T12:15:51Z
165,Centralized,Moria Kunze,288257163-1,1987-03-17T05:42:55Z
166,capacity,Asia Probart,927901972-4,1987-12-11T10:07:44Z
167,Networked,Dennie Bletsor,812113022-0,1993-09-22T16:58:10Z
168,Multi-tiered,Issiah Rutherforth,747750050-8,2013-05-24T14:45:50Z
169,pricing structure,Vonni Ell,506262011-2,1971-03-15T11:48:23Z
170,explicit,Lee Wyld,161402770-6,1972-03-24T16:22:56Z
171,Fundamental,Diahann Coonihan,846229538-6,1989-01-14T00:24:58Z
172,Fundamental,Peirce Whitington,848496529-5,1987-05-21T23:29:31Z
173,utilisation,Odessa Elmer,354351737-6,2001-03-24T13:06:55Z
174,uniform,Etta Yanshinov,356370239-X,1992-05-17T07:22:21Z
175,alliance,Delainey Hacaud,218326417-9,1970-06-04T07:07:50Z
176,support,Wain Glamart,086468485-1,1990-07-12T01:17:11Z
177,Right-sized,Paulie Berecloth,786722816-0,2004-05-01T06:18:14Z
178,collaboration,Tildie Cheng,421714868-2,1986-08-14T10:14:01Z
179,bottom-line,Maris Teare,422067148-X,1998-04-21T17:31:17Z
180,system-worthy,Menard Reuble,898335920-X,1998-08-05T17:40:30Z
181,Right-sized,Fania MacFadzean,019911187-1,1986-10-28T03:17:03Z
182,Triple-buffered,Sophia Cackett,685731623-6,1977-10-09T22:10:06Z
183,cohesive,Webb Fiander,876528955-2,1990-11-06T19:57:47Z
184,framework,Maxy Vinton,526212400-3,1979-09-01T04:11:14Z
185,Triple-buffered,Ivor Jopke,806955661-7,1971-02-08T01:24:04Z
186,explicit,Issi Damsell,816349774-2,1983-06-21T15:03:59Z
187,circuit,Nil Curston,662286073-4,1970-08-07T09:51:50Z
188,Extended,Constance Swigger,790524636-1,2003-01-20T10:57:45Z
189,paradigm,Michele Karlqvist,344589145-1,2008-08-13T11:23:04Z
190,Sharable,Tedd Thunder,863540300-2,1974-07-25T15:56:03Z
191,Customizable,Sari Sacaze,630423017-6,1986-03-17T18:22:27Z
192,Front-line,Ximenez Gowman,146302112-7,1971-03-18T22:06:11Z
193,hybrid,Roxi Kiossel,782813288-3,1999-02-27T09:59:08Z
194,productivity,Lizzie Floweth,317462813-X,1998-08-16T12:52:24Z
195,empowering,Nan Scholte,574657110-5,1978-05-29T10:39:53Z
196,Sharable,Bertie Chastenet,345575716-2,1982-12-01T05:08:34Z
197,Team-oriented,Glad Rielly,424418965-3,1983-05-09T10:10:11Z
198,workforce,Korrie Swale,649541086-7,2003-02-06T10:52:08Z
199,data-warehouse,Dominick Beadel,524031726-7,1975-04-02T13:02:18Z
200,matrix,Aksel Adney,152044111-8,2008-01-29T12:48:42Z
201,firmware,Onofredo Lukovic,468535614-4,2007-05-03T08:54:40Z
202,clear-thinking,Elsworth Chainey,149544862-2,1986-09-08T01:04:19Z
203,synergy,Deny Bausor,280504219-0,1973-10-25T01:33:53Z
204,function,Mabel Vokes,923605091-3,2015-09-26T11:27:13Z
205,6th generation,Ainsley Eglington,794527994-5,2015-02-03T09:20:48Z
206,full-range,Gaby Di Franceschi,105481475-9,1978-12-21T13:38:02Z
207,3rd generation,Joell Darrow,018919977-6,1983-08-11T14:43:23Z
208,focus group,Car Newlyn,361780103-X,2006-07-28T21:02:54Z
209,approach,Brent Crate,270282525-7,1983-03-20T08:11:14Z
210,Fundamental,Anson Delcastel,642049072-3,2012-01-25T00:27:16Z
211,uniform,Alaster Staries,843918063-2,2008-07-09T20:22:42Z
212,array,Isa McCrossan,442872999-5,2011-03-25T00:54:47Z
213,bottom-line,Farlay Zimek,267555059-0,2002-03-18T16:16:40Z
214,Advanced,Constantia Byard,183785088-7,2002-01-22T21:59:58Z
215,Configurable,Bailey Cicco,031429482-1,2005-11-29T04:27:26Z
216,Inverse,Gibby Skpsey,250127656-6,2008-09-03T15:03:35Z
217,leverage,Levon Birdall,465321435-2,1983-10-01T07:23:11Z
218,tertiary,Meredith Chesnut,619486663-2,1970-02-15T01:47:49Z
219,Enhanced,Ken Mackrell,263324855-1,2005-04-24T01:57:28Z
220,Monitored,Vlad Calf,970798153-9,2014-10-06T22:11:05Z
221,analyzing,Parry Bellew,442549589-6,1979-09-30T20:25:49Z
222,Horizontal,Chad Broske,100405980-9,2004-11-17T03:18:07Z
223,Future-proofed,Joshua Hartzog,847605790-3,2012-08-16T18:57:55Z
224,Grass-roots,Daryn Neenan,025059480-3,2005-08-14T21:44:54Z
225,Multi-tiered,Gracie Rotherforth,776537353-6,2017-05-14T16:26:15Z
226,hub,Yule Figurski,068643587-7,1984-09-24T12:12:50Z
227,Managed,Donia Phethean,019627471-0,1978-12-17T14:08:31Z
228,strategy,Henrietta Conway,266358467-3,1995-11-10T07:30:12Z
229,Advanced,Fredi Brumbie,538330738-9,2012-01-30T10:52:09Z
230,Profound,Emmalynn Rowston,885057607-2,2001-12-18T11:47:40Z
231,open system,Michaella Checchetelli,180689487-4,2003-09-05T20:35:47Z
232,Exclusive,Andreas Farra,139629342-6,1987-03-16T18:35:13Z
233,encryption,Alard Joskowicz,363926039-2,2008-09-05T20:53:37Z
234,Multi-layered,Noland Northridge,312314633-2,2007-05-24T13:33:46Z
235,artificial intelligence,Stephannie D'Costa,910242783-4,2016-11-17T21:35:51Z
236,Total,Renell Marvelley,365676589-8,1971-03-18T02:09:15Z
237,Networked,Cindie Gilmour,293272123-2,2018-08-04T00:18:47Z
238,Phased,Ronald Cadwallader,084326924-3,1994-01-21T14:12:43Z
239,database,Catlee Swainsbury,652474130-7,2002-06-08T20:26:40Z
240,firmware,Georgine Severns,475678135-7,1973-06-18T14:19:26Z
241,policy,Marian Holsall,499551102-4,1990-07-20T00:49:34Z
242,Distributed,Bethany Siggers,500879582-1,1986-01-29T02:04:47Z
243,analyzer,Kariotta Karlsson,191116786-3,1994-04-24T22:02:51Z
244,parallelism,Dorolisa Ritch,104624204-0,2020-08-27T20:57:34Z
245,Intuitive,Kaela Deek,051831960-1,1996-07-05T08:59:38Z
246,high-level,Megan Coale,175839389-0,2004-08-27T17:16:16Z
247,orchestration,Tiff Caveill,849746488-5,1983-09-29T13:28:09Z
248,leverage,Cal Dedrick,748110990-7,1972-12-03T05:49:07Z
249,Mandatory,Clayton Battman,498819422-1,1979-02-05T21:33:05Z
250,Proactive,Karlotta Kenney,011420488-8,1994-09-06T17:42:53Z
251,ability,Marnie D'Hooge,833734322-2,2010-05-29T04:35:55Z
252,toolset,Alethea Georgi,218704848-9,1997-02-27T09:26:05Z
253,24 hour,Gratiana St Clair,081473557-6,1970-11-22T06:21:51Z
254,interactive,Karolina Debrick,614671633-2,1994-12-27T19:07:09Z
255,Enhanced,Glen Fowlie,332977334-0,2003-09-15T16:33:09Z
256,radical,Rebekah Bowshire,216210912-3,1986-04-02T15:55:03Z
257,functionalities,Bendick Pawelski,981357335-X,1984-01-27T16:49:36Z
258,needs-based,Tito Fazan,137659909-0,1980-12-16T21:26:06Z
259,homogeneous,Mindy Rutledge,988952085-0,2004-11-24T04:14:05Z
260,regional,Etan Eilert,288771684-0,2014-03-27T06:06:40Z
261,asynchronous,Rosalinda Ivakin,388692387-8,1973-04-04T04:17:09Z
262,challenge,Tarra Oxherd,894681893-X,1994-02-15T16:39:01Z
263,Profit-focused,Ava Davidow,026919446-0,1992-06-11T16:40:13Z
264,encryption,Teresina Sutton,962555857-8,1982-06-11T05:55:39Z
265,database,Tamarah Meade,883413382-X,1992-12-03T09:55:26Z
266,neural-net,Renae Tillard,250556619-4,2015-04-28T23:18:46Z
267,clear-thinking,Gail Smallridge,469115267-9,1973-10-04T01:32:01Z
268,instruction set,Huntlee Vinas,716712089-8,1976-02-02T02:18:03Z
269,dynamic,Vivi Harmant,962311682-9,2001-10-01T05:21:04Z
270,reciprocal,Rriocard Gorvin,754918122-5,1976-07-08T15:45:55Z
271,Function-based,Harmon MacLleese,540384076-1,1984-05-10T06:02:00Z
272,Cross-group,Sherrie Gomes,992328181-7,1996-08-15T22:49:48Z
273,regional,Francyne Pestridge,598886012-5,2003-11-16T08:53:10Z
274,attitude,Erv Howselee,422453872-5,2016-04-20T12:07:26Z
275,ability,Keely Brownrigg,382004292-X,2009-07-26T13:13:37Z
276,forecast,Cymbre Kesey,513401350-0,1991-07-30T06:29:31Z
277,Stand-alone,Shelbi Poulglais,368813700-0,1972-12-07T09:57:30Z
278,Synergistic,Alf Malthouse,952724736-5,2020-07-16T11:44:11Z
279,multi-state,Joycelin Simnell,875610376-X,1987-05-03T07:39:22Z
280,directional,Rosana Abramovitch,770349138-1,1988-04-09T02:09:52Z
281,methodology,Isidoro Jeram,579980712-X,2007-03-07T01:54:37Z
282,Implemented,Stormie Cirlos,491395249-8,1979-03-03T19:52:35Z
283,clear-thinking,Barrie Bamling,384851685-3,2017-01-30T16:15:52Z
284,Synchronised,Geralda Noddle,135880114-2,2009-05-10T22:10:18Z
285,circuit,Berna McMakin,496241622-7,1973-09-03T15:46:27Z
286,application,Britte Berceros,986622879-7,2007-07-17T18:51:53Z
287,benchmark,Gaven Robertazzi,660170018-5,1996-01-04T21:12:18Z
288,encoding,Dame Lundbeck,236138723-9,2002-11-02T12:51:03Z
289,4th generation,Valentijn Ruberry,342298240-X,2015-07-05T20:33:18Z
290,Focused,Giles Tranmer,897360865-7,2005-11-04T17:05:29Z
291,Managed,Tallulah Willbond,969401862-5,2011-12-03T02:30:34Z
292,disintermediate,Ericha Pedlingham,861654714-2,2000-07-29T06:03:00Z
293,Pre-emptive,Tristam Concannon,840255322-2,1992-09-17T20:05:43Z
294,24/7,Chuck Rignoldes,441900008-2,1995-06-03T12:07:20Z
295,zero defect,Paola Barensky,385089702-8,1993-04-26T06:14:28Z
296,groupware,Bradley Grantham,557225685-4,2017-02-14T13:28:00Z
297,reciprocal,Solly Kubasek,744007078-X,2018-12-05T02:30:58Z
298,4th generation,Sidney Udie,282736077-2,1985-08-21T05:52:21Z
299,adapter,Keri Ashworth,915392354-5,2019-10-01T14:41:10Z
300,dedicated,Lacey Skune,625673139-5,2019-04-14T20:05:26Z
301,Versatile,Olwen De Malchar,369184347-6,1971-01-06T13:40:56Z
302,initiative,Chelsae Krebs,549781497-2,1970-03-23T21:47:46Z
303,Networked,Angil Inkle,995820638-2,1980-12-07T01:40:19Z
304,Profit-focused,Laurette Dyte,399290757-0,1976-01-02T02:23:50Z
305,Versatile,Jaymie Fantham,685867228-1,2020-04-22T19:54:20Z
306,context-sensitive,Derek Yeoman,969820580-2,2014-01-20T02:45:26Z
307,empowering,Hardy Dillicate,197096372-7,1983-03-01T13:48:45Z
308,software,Corey Rigler,340523288-0,2011-01-21T03:02:31Z
309,Future-proofed,Grace Dumsday,566353862-3,2019-03-20T22:16:00Z
310,software,Sibella Petyankin,658687410-6,1984-04-13T14:52:36Z
311,conglomeration,Rodolph Worsam,488923276-1,2008-07-13T01:51:20Z
312,solution-oriented,Adoree Portis,083051795-2,2010-11-01T09:49:49Z
313,Profound,Matti Hacksby,092062800-1,2020-08-31T07:45:26Z
314,Mandatory,Any Ebrall,978433206-X,2011-05-13T12:02:30Z
315,object-oriented,Dorita Wiszniewski,568013907-3,2019-05-03T06:14:43Z
316,Reduced,Grove Nilles,976226144-5,1977-05-24T11:29:33Z
317,infrastructure,Chrissie Padula,449225341-6,2005-06-18T03:21:27Z
318,client-driven,Isa Sutton,504508886-6,1971-12-26T01:52:43Z
319,Focused,Bettina De Domenicis,861462951-6,1972-12-19T00:22:48Z
320,Versatile,Briana Vlasin,480916137-4,1999-12-07T11:04:58Z
321,6th generation,Tyson Tordoff,038756045-9,2010-09-02T21:27:35Z
322,Digitized,Larry Dilon,711525772-8,1981-06-18T03:21:59Z
323,ability,Whitney Catley,180060230-8,2005-05-19T14:48:50Z
324,Multi-channelled,Elroy Banishevitz,718296523-2,1982-08-26T20:36:42Z
325,monitoring,Jamil Pickring,952674073-4,1982-10-20T06:09:44Z
326,alliance,Catlee Pethrick,103045896-0,1981-10-20T09:55:37Z
327,leverage,Clary Theunissen,374817161-7,2011-01-12T20:36:02Z
328,zero defect,Clayborne Schultes,563555458-X,1994-02-20T13:27:27Z
329,modular,Darrel Staley,101032023-8,2005-05-16T15:56:00Z
330,client-driven,Arlyne Kareman,371339430-X,2002-06-29T03:26:01Z
331,Future-proofed,Loleta Housley,486406367-2,1993-05-23T22:14:05Z
332,Intuitive,Erinn Thominga,975232602-1,1979-07-11T03:38:18Z
333,Synchronised,Jeno Ivashnyov,953512879-5,1996-11-02T16:42:25Z
334,contingency,Ray Dacca,716646799-1,2004-08-22T03:35:46Z
335,Polarised,Lyn Mansel,164733042-4,2014-02-14T05:49:50Z
336,exuding,Sharia MacAlroy,925405597-2,1988-08-29T03:55:33Z
337,Pre-emptive,Winslow Blest,819770613-1,1974-10-27T12:00:37Z
338,utilisation,Melina Smout,888105580-5,2011-07-11T14:16:34Z
339,Cross-group,Kitti Dawdary,904074489-0,2004-07-12T21:23:31Z
340,radical,Gustavo Blount,877756996-2,1977-01-10T16:35:21Z
341,real-time,Jewel Portman,435184146-X,1984-02-23T15:02:14Z
342,utilisation,Rowney Paviour,574147935-9,1994-02-19T11:37:44Z
343,Reduced,Bekki Trahair,365837771-2,2012-10-01T07:50:55Z
344,non-volatile,Nata Gogerty,492033055-3,1991-12-13T07:31:49Z
345,Ergonomic,Mill Perris,784565427-2,1999-02-05T01:31:10Z
346,capacity,Darrell Bortoletti,296916127-3,2018-05-20T17:45:22Z
347,reciprocal,Jecho Ripley,029302532-0,2021-03-05T13:06:33Z
348,Seamless,Dunc Ausello,209372756-0,2016-10-25T02:33:48Z
349,Focused,Ody Dignon,283167666-5,2003-08-24T12:33:48Z
350,reciprocal,Waldon Lippiett,083597460-X,1989-06-27T22:40:24Z
351,hybrid,Bobby Chippindall,339930458-7,1987-04-22T22:50:45Z
352,orchestration,Barnard Union,459634584-8,1999-11-29T21:45:59Z
353,Customer-focused,Joann Grimes,563653313-6,1998-01-04T17:05:44Z
354,attitude,Lovell Haley,418459184-1,2012-08-11T04:56:14Z
355,multimedia,Lelia Cappel,707137295-0,2007-01-08T07:45:23Z
356,adapter,Shurlock Gladdor,497002890-7,2012-11-14T08:37:32Z
357,synergy,Uri Redholls,873502747-9,1982-07-30T21:07:46Z
358,needs-based,Lanna Barrowclough,168362015-1,2020-10-24T06:13:03Z
359,next generation,Elsa Jamrowicz,970091888-2,1977-02-09T01:59:10Z
360,emulation,Casey Matlock,287360531-6,1975-01-04T12:42:06Z
361,scalable,Larissa Cauley,639129271-X,1982-07-02T10:27:08Z
362,groupware,Artemus McGeechan,237317513-4,2009-08-07T06:14:58Z
363,encryption,Gasper Criag,987877590-9,2020-06-07T02:07:38Z
364,cohesive,Ignacio Botcherby,986912074-1,2003-10-12T07:22:19Z
365,hardware,Gibby Bierling,021802958-6,1970-09-18T10:59:51Z
366,infrastructure,Normand Blaine,117255829-9,1989-02-11T07:53:24Z
367,explicit,Vin McCaster,095049207-8,2008-03-23T08:27:47Z
368,Ergonomic,Olwen Hakey,665589071-3,2006-10-05T13:58:44Z
369,motivating,Matias Witty,763630120-2,1979-07-12T02:32:22Z
370,flexibility,Slade Glayzer,359078718-X,1975-10-05T02:27:06Z
371,Ergonomic,Darda Losemann,082297521-1,2001-10-23T05:55:49Z
372,Monitored,Brandea Lecordier,445420143-9,1973-08-01T02:50:20Z
373,Profound,Domeniga Rope,899673269-9,1983-02-17T00:27:07Z
374,User-friendly,Laure Japp,408771983-9,1989-11-30T15:27:44Z
375,Networked,Roi Reyburn,105378714-6,1989-04-16T02:25:13Z
376,customer loyalty,Mordecai Elrick,203556818-8,1994-12-26T11:54:38Z
377,info-mediaries,Sarah Sowerbutts,466435985-3,2012-08-17T12:38:32Z
